family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
D	RTL8367D_REG_QOS_INTERNAL_PRIORITY_DECISION2_CTRL1		REGISTER	0x0886	2182	3482
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL1_QOS_DOT1Q_WEIGHT_OFFSET		OFFSET_SHIFT	8	8	3483
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL1_QOS_DOT1Q_WEIGHT_MASK		MASK	0x1F00	7936	3484
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL1_QOS_DSCP_WEIGHT_OFFSET		OFFSET_SHIFT	0	0	3485
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL1_QOS_DSCP_WEIGHT_MASK		MASK	0x1F	31	3486
D	RTL8367D_REG_QOS_INTERNAL_PRIORITY_DECISION2_CTRL2		REGISTER	0x0887	2183	3488
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL2_OFFSET		OFFSET_SHIFT	0	0	3489
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION2_CTRL2_MASK		MASK	0x1F	31	3490
D	RTL8367D_REG_QOS_INTERNAL_PRIORITY_DECISION_IDX		REGISTER	0x0889	2185	3492
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION_IDX_OFFSET		OFFSET_SHIFT	0	0	3493
D	RTL8367D_QOS_INTERNAL_PRIORITY_DECISION_IDX_MASK		MASK	0xFF	255	3494
D	RTL8367D_REG_MAX_LEN_RX_TX_CFG0		REGISTER	0x088c	2188	3496
D	RTL8367D_MAX_LEN_RX_TX_CFG0_OFFSET		OFFSET_SHIFT	0	0	3497
D	RTL8367D_MAX_LEN_RX_TX_CFG0_MASK		MASK	0x3FFF	16383	3498
D	RTL8367D_REG_MAX_LEN_RX_TX_CFG1		REGISTER	0x088d	2189	3500
D	RTL8367D_MAX_LEN_RX_TX_CFG1_OFFSET		OFFSET_SHIFT	0	0	3501
D	RTL8367D_MAX_LEN_RX_TX_CFG1_MASK		MASK	0x3FFF	16383	3502
D	RTL8367D_REG_UNDA_FLOODING_PMSK		REGISTER	0x0890	2192	3504
D	RTL8367D_UNDA_FLOODING_PMSK_OFFSET		OFFSET_SHIFT	0	0	3505
D	RTL8367D_UNDA_FLOODING_PMSK_MASK		MASK	0xFF	255	3506
D	RTL8367D_REG_UNMCAST_FLOADING_PMSK		REGISTER	0x0891	2193	3508
D	RTL8367D_UNMCAST_FLOADING_PMSK_OFFSET		OFFSET_SHIFT	0	0	3509
D	RTL8367D_UNMCAST_FLOADING_PMSK_MASK		MASK	0xFF	255	3510
D	RTL8367D_REG_BCAST_FLOADING_PMSK		REGISTER	0x0892	2194	3512
D	RTL8367D_BCAST_FLOADING_PMSK_OFFSET		OFFSET_SHIFT	0	0	3513
D	RTL8367D_BCAST_FLOADING_PMSK_MASK		MASK	0xFF	255	3514
