family	symbol	arguments	kind	raw_value	numeric_value_decimal	source_line
C	RTL8367C_PORT0_EEECFG_EEE_FORCE_OFFSET		OFFSET_SHIFT	12	12	113
C	RTL8367C_PORT0_EEECFG_EEE_FORCE_MASK		MASK	0x1000	4096	114
C	RTL8367C_PORT0_EEECFG_EEE_100M_OFFSET		OFFSET_SHIFT	11	11	115
C	RTL8367C_PORT0_EEECFG_EEE_100M_MASK		MASK	0x800	2048	116
C	RTL8367C_PORT0_EEECFG_EEE_GIGA_500M_OFFSET		OFFSET_SHIFT	10	10	117
C	RTL8367C_PORT0_EEECFG_EEE_GIGA_500M_MASK		MASK	0x400	1024	118
C	RTL8367C_PORT0_EEECFG_EEE_TX_OFFSET		OFFSET_SHIFT	9	9	119
C	RTL8367C_PORT0_EEECFG_EEE_TX_MASK		MASK	0x200	512	120
C	RTL8367C_PORT0_EEECFG_EEE_RX_OFFSET		OFFSET_SHIFT	8	8	121
C	RTL8367C_PORT0_EEECFG_EEE_RX_MASK		MASK	0x100	256	122
C	RTL8367C_PORT0_EEECFG_EEE_DSP_RX_OFFSET		OFFSET_SHIFT	6	6	123
C	RTL8367C_PORT0_EEECFG_EEE_DSP_RX_MASK		MASK	0x40	64	124
C	RTL8367C_PORT0_EEECFG_EEE_LPI_OFFSET		OFFSET_SHIFT	5	5	125
C	RTL8367C_PORT0_EEECFG_EEE_LPI_MASK		MASK	0x20	32	126
C	RTL8367C_PORT0_EEECFG_EEE_TX_LPI_OFFSET		OFFSET_SHIFT	4	4	127
C	RTL8367C_PORT0_EEECFG_EEE_TX_LPI_MASK		MASK	0x10	16	128
C	RTL8367C_PORT0_EEECFG_EEE_RX_LPI_OFFSET		OFFSET_SHIFT	3	3	129
C	RTL8367C_PORT0_EEECFG_EEE_RX_LPI_MASK		MASK	0x8	8	130
C	RTL8367C_PORT0_EEECFG_EEE_PAUSE_INDICATOR_OFFSET		OFFSET_SHIFT	2	2	131
C	RTL8367C_PORT0_EEECFG_EEE_PAUSE_INDICATOR_MASK		MASK	0x4	4	132
C	RTL8367C_PORT0_EEECFG_EEE_WAKE_REQ_OFFSET		OFFSET_SHIFT	1	1	133
C	RTL8367C_PORT0_EEECFG_EEE_WAKE_REQ_MASK		MASK	0x2	2	134
C	RTL8367C_PORT0_EEECFG_EEE_SLEEP_REQ_OFFSET		OFFSET_SHIFT	0	0	135
C	RTL8367C_PORT0_EEECFG_EEE_SLEEP_REQ_MASK		MASK	0x1	1	136
C	RTL8367C_REG_PORT0_EEETXMTR		REGISTER	0x0019	25	138
C	RTL8367C_REG_PORT0_EEERXMTR		REGISTER	0x001a	26	140
C	RTL8367C_REG_PORT0_EEEPTXMTR		REGISTER	0x001b	27	142
C	RTL8367C_REG_PORT0_EEEPRXMTR		REGISTER	0x001c	28	144
C	RTL8367C_REG_PTP_PORT0_CFG1		REGISTER	0x001e	30	146
