symbol	arguments	value_or_expression	source_line
RTL_RTK_SWCORE_QIDDPCR		0x4750	207
RTL_RTK_SWCORE_RMCR1P		0x476c	208
RTL_RTK_SWCORE_DSCPRM0		0x4770	209
RTL_RTK_SWCORE_DSCPRM1		0x4774	210
RTL_RTK_SWCORE_RLRC		0x4778	211
RTL_RTK_SWCORE_P0Q0RGCR	(_n)	(0x4800 + ((_n) * 4))	212
RTL_RTK_SWCORE_WFQRCRP0	(_n)	(0x48b0 + ((_n) * 12))	213
RTL_RTK_SWCORE_ELBPCR		0x4904	214
RTL_RTK_SWCORE_ELBTTCR		0x4908	215
RTL_RTK_SWCORE_ILBPCR1		0x490c	216
RTL_RTK_SWCORE_ILBPCR2		0x4910	217
RTL_RTK_SWCORE_IGPRIVCR0		0x5168	218
RTL_RTK_SWCORE_IGPRIVCR1		0x516c	219
RTL_RTK_SWCORE_IGPRIVCR2		0x5170	220
RTL_RTK_SWCORE_IPV6CR1		0x5204	221
RTL_RTK_TMRCR_ENHSBTESTMODE		BIT(1)	222
RTL_RTK_PCRP_MAC_SW_RESET		BIT(3)	223
RTL_RTK_PCRP_ENABLE_PHY_IF		BIT(0)	224
RTL_RTK_PCRP_EN_FORCE_MODE		BIT(25)	225
RTL_RTK_PCRP_POLL_LINK_STATUS		BIT(24)	226
RTL_RTK_PCRP_EXT_PHYID_SHIFT		26	227
RTL_RTK_PCRP_EXT_PHYID_MASK		(0x1fU << RTL_RTK_PCRP_EXT_PHYID_SHIFT)	228
RTL_RTK_PCRP_FORCE_LINK		BIT(23)	229
RTL_RTK_PCRP_FORCE_STATUS_MASK		GENMASK(22, 18)	230
RTL_RTK_PCRP_FORCE_SPEED_1000M		(2U << 19)	231
RTL_RTK_PCRP_FORCE_DUPLEX		BIT(18)	232
RTL_RTK_PCRP_PAUSE_MASK		GENMASK(17, 16)	233
RTL_RTK_PCRP_PAUSE_TXRX		(3U << 16)	234
RTL_RTK_PCRP_MII_RXER		BIT(13)	235
RTL_RTK_PCRP_STP_MASK		GENMASK(5, 4)	236
RTL_RTK_PCRP_STP_FORWARDING		(3U << 4)	237
RTL_RTK_RD05_P0_EXT_PHY_ID		5U	238
RTL_RTK_QIDDPCR_SDK_INIT		0x00011111	239
RTL_RTK_SBFCR0_SDK_INIT		0x000001e0	240
RTL_RTK_SBFCR1_SDK_INIT		0x019001cc	241
RTL_RTK_SBFCR2_SDK_INIT		0x0050006c	242
RTL_RTK_PBFCR_SDK_INIT		0x003c005a	243
RTL_RTK_ELBPCR_SDK_INIT		0x00003326	244
RTL_RTK_ELBTTCR_SDK_INIT		0x00000400	245
RTL_RTK_ILBPCR1_SDK_INIT		0x00000000	246
RTL_RTK_ILBPCR2_SDK_INIT		0x00003326	247
RTL_RTK_P0QRGCR_SDK_INIT		0x7ff03fff	248
RTL_RTK_WFQRCRP0_SDK_INIT		0x000fffff	249
RTL_RTK_PQPLGR_SDK_INIT		0x00181818	250
RTL_RTK_TXRINGCR_TX_RING0_EN		BIT(0)	251
RTL_RTK_TXRINGCR_TX_RING1_EN		BIT(1)	252
RTL_RTK_TXRINGCR_TX_RING2_EN		BIT(2)	253
RTL_RTK_TXRINGCR_TX_RING3_EN		BIT(3)	254
RTL_RTK_TXRINGCR_TX_RING_ROUND		BIT(4)	255
RTL_RTK_TXRINGCR_TXDCP_BP_EN	(v)	(((v) & 0xf) << 8)	256
RTL_RTK_TXRINGCR_TXRING2_TO_FIFO	(v)	(((v) & 0x3) << 16)	257
RTL_RTK_TXRINGCR_TXRING3_TO_FIFO	(v)	(((v) & 0x3) << 18)	258
RTL_RTK_TXRINGCR_BLEN_ADJ_EN		BIT(31)	259
RTL_RTK_TXRINGCR_8197F_VG_INIT		( RTL_RTK_TXRINGCR_BLEN_ADJ_EN | \	260
RTL_RTK_SWCORE_ALE_BASE		0x4400	282
RTL_RTK_SWCORE_TACI_BASE		0x4d00	283
