quelle,pfad,groesse_bytes,sha256
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/Version.txt,58,1d4b3199d8fae29397f59844345c3f080a8e62d374c838df45866f3e7a330065
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/rtl8197Ffw.bin,56080,61d6ef42cd8ff6af6c83649fdf18ea654abc9a62a43cc12f9369a2732a509515
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FCfg.h,2647,17f2632fdb74c3c7c4bf764f192de9d826f79680556111dbce05f39cf165a993
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FDef.h,6462,d9e03fc6706b98615be6bff352f3934412749ea2c6580e2ba26dbb2c45a44791
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FFirmware.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FFirmware.h,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FGen.c,13799,fc52b7bdfd2aa2a8662702e2fbce8cf04b97e2238807c27e56742c39db8a6407
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FHWImg.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FHWImg.h,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
AX12v1_GPL,AX12v1_GPL_Paket/source_subset/rtl8197/backports-5.2.8-1/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/RTL88XX/RTL8197F/Hal8197FIsr.c,0,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
