path,category,size_bytes,keywords,sha256_small_files
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp.txt,wlan_backports_8197f,4398,smi,36225fb7bf55ab34af524e483df1c0dd18c1130d1357f1dd7582cf135fb9bde4
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_TXBF.txt,wlan_backports_8197f,4398,smi,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type0.txt,wlan_backports_8197f,4398,smi,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type1.txt,wlan_backports_8197f,4398,smi,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type2.txt,wlan_backports_8197f,4398,smi,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type3.txt,wlan_backports_8197f,4398,smi,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type4.txt,wlan_backports_8197f,4398,smi,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type5.txt,wlan_backports_8197f,4398,smi,f8d2028195c660e723c83348816a7bbaf43b3499d8413189c3ecf6d4586e746c
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TXPWR_LMT_8197Fmp_Type6.txt,wlan_backports_8197f,4398,smi,37b9f2e0561c0ada26d415b1c54d17dca33ee73364ef987f467e2c9259eefd2e
selected_sources/sdk/openwrt-21.02/package/backports/src/drivers/net/wireless/realtek/rtl8192fe/WlanHAL/Data/8197F/TxPowerTrack_AP_8197Fmp.txt,wlan_backports_8197f,1374,rtl8197f,28253e196a21ee25e057929672a755b624fd617e38351ab76366c5cedcc392d2
