Archive,Area,Scope,Class,FileKind,Chips/Keywords,SizeBytes,SizeKiB,Extension,Path
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1768,1.73,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_eav.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",446,0.44,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_eee.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",5442,5.31,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_fc.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1067,1.04,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_green.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",707,0.69,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_hsb.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",6446,6.29,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_igmp.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",575,0.56,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_inbwctrl.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",1333,1.3,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_interrupt.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",3131,3.06,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_led.h
GPL_AX12v1,Ethernet/Switch,target-specific / likely relevant,Bootloader switch support,source/header,"RTL8367B, RTL8367R",6896,6.73,.h,GPL_AX12v1/rtl8197/bootcode/boot/rtl8367r/rtl8367b_asicdrv_lut.h
